timestamp,average_fare,rides_completed,driver_availability,surge_multiplier,vehicle_type,weather,traffic_index,special_event
2021-01-01 00:00:00,20.78042326739493,457.0,49.170948129600674,1.0,bike,Clear,63.0,0.0
,90.0,,30.0,,car,Clear,,
,41.197084555662194,,39.11021920112762,,auto,Clear,,
2021-01-01 01:00:00,20.772226831619317,141.0,30.0,1.5,bike,Stormy,83.0,0.0
,90.96980503388492,,30.0,,,Clear,,
2021-01-01 01:00:00,40.70308570193488,137.0,30.0,1.3,auto,Clear,80.0,0.0
2021-01-01 02:00:00,21.86099829948269,519.0,47.97058521654888,1.0,bike,Cloudy,26.0,0.0
2021-01-01 02:00:00,91.78119351533506,118.0,34.55255847610003,1.0,car,Clear,21.0,0.0
2021-01-01 02:00:00,42.637278122044826,244.0,37.59932637149752,1.4,auto,Clear,48.0,1.0
2021-01-01 03:00:00,22.984324422892065,657.0,57.93103393400535,1.0,bike,Clear,29.0,0.0
2021-01-01 03:00:00,92.39284912177482,95.0,30.86697728052277,1.0,car,Clear,54.0,0.0
,43.544152212683,,34.8195913873989,,,Cloudy,,
2021-01-01 04:00:00,93.69727069190267,58.0,30.0,1.2,car,Rainy,55.0,0.0
2021-01-01 04:00:00,43.836442853441326,129.0,30.0,1.2,auto,Rainy,55.0,0.0
2021-01-01 04:00:00,21.901186749246516,272.0,42.7669165183738,1.3,bike,Clear,97.0,0.0
2021-01-01 05:00:00,42.42250374096718,357.0,43.12865556202013,1.0,auto,Clear,63.0,0.0
,22.16054889936372,,61.70467095262348,,bike,Clear,,
2021-01-01 05:00:00,95.17462523973076,175.0,34.50484843168793,1.0,car,Clear,46.0,0.0
,42.55808620543364,,62.21017878968466,,auto,Cloudy,,
2021-01-01 06:00:00,23.755702043187085,1000.0,78.84296577451293,1.3,bike,Clear,81.0,0.0
2021-01-01 06:00:00,95.63319120773389,214.0,48.02825355320395,1.0,,Clear,45.0,0.0
2021-01-01 07:00:00,46.06711432292897,709.0,71.46411073985472,1.3123620356542087,auto,Clear,30.0,0.0
2021-01-01 07:00:00,95.55030298426855,99.0,32.25149500542307,1.6123620356542088,car,Clear,89.0,0.0
2021-01-01 07:00:00,23.16490956845326,946.0,60.97374122907199,1.9123620356542088,,Rainy,38.0,1.0
2021-01-01 08:00:00,94.20598319910523,88.0,30.0,1.7852142919229748,car,Cloudy,91.0,0.0
,42.50042580575323,,58.402350484526906,,auto,Clear,,
2021-01-01 08:00:00,22.125229198155825,1387.0,68.34795863475567,1.4852142919229747,bike,Cloudy,52.0,0.0
2021-01-01 09:00:00,93.94718620664214,271.0,50.967165136799096,1.4195981825434214,car,Cloudy,35.0,0.0
2021-01-01 09:00:00,43.24021739706422,628.0,63.75070506470164,1.4195981825434214,auto,Clear,47.0,0.0
2021-01-01 09:00:00,22.78295524410226,1073.0,76.52500398781275,2.1195981825434216,bike,Cloudy,81.0,1.0
2021-01-01 10:00:00,41.28982015446581,352.0,36.76290651972525,1.3,auto,Clear,84.0,0.0
,21.76757592054448,,59.02533823390348,,bike,Clear,,
2021-01-01 10:00:00,92.05533353879068,255.0,37.14009203248293,1.0,car,Cloudy,26.0,0.0
2021-01-01 11:00:00,21.500527916196244,448.0,30.0,1.5,bike,Stormy,86.0,0.0
2021-01-01 11:00:00,91.68856456667572,269.0,36.85726912512881,1.0,,Cloudy,27.0,0.0
2021-01-01 11:00:00,40.0,449.0,38.07577929543663,1.0,auto,Clear,78.0,0.0
2021-01-01 12:00:00,21.62256836879252,1033.0,47.96496451703615,1.2,bike,Rainy,26.0,0.0
2021-01-01 12:00:00,90.78525450805198,315.0,46.1292679897811,1.0,car,Clear,20.0,0.0
,40.0,,35.75395989153024,,,Rainy,,
,90.68740915735764,,30.0,,car,Rainy,,
2021-01-01 13:00:00,40.0,301.0,30.0,1.0,auto,Clear,78.0,0.0
2021-01-01 13:00:00,20.0,813.0,48.37470487330434,1.10772445044723,bike,Clear,49.0,0.0
2021-01-01 14:00:00,40.0,628.0,37.10771321378687,1.0,auto,Clear,33.0,0.0
2021-01-01 14:00:00,20.0,1221.0,49.84952648275184,1.0615813172070367,bike,Clear,55.0,0.0
